Cycle(-)	Time(s)
2	0.143406
3	0.269465
4	0.39555
5	0.521591
6	0.647592
7	0.773671
8	0.89978
9	1.02579
10	1.15181
11	1.27787
12	1.40391
13	1.53001
14	1.656
15	1.78204
16	1.90809
17	2.03417
18	2.16019
19	2.2863
20	2.41229
21	2.53838
22	2.66444
23	2.79047
24	2.9166
25	3.04262
26	3.16865
27	3.29466
28	3.42077
29	3.54678
30	3.67284
31	3.79895
32	3.92491
33	4.05095
34	4.17708
35	4.30311
36	4.42913
37	4.55519
38	4.68125
39	4.80732
40	4.93337
41	5.05943
42	5.18545
43	5.31148
44	5.43756
45	5.56361
46	5.68962
47	5.81573
48	5.94172
49	6.06776
50	6.1938
51	6.31986
52	6.44592
53	6.57201
54	6.69801
55	6.82415
56	6.95019
57	7.07625
58	7.20223
59	7.32827
60	7.45433
61	7.58041
62	7.70643
63	7.83256
64	7.95854
65	8.08462
66	8.21064
67	8.3367
68	8.46278
69	8.58885
70	8.71482
71	8.84089
72	8.96692
73	9.09304
74	9.21909
75	9.34512
76	9.47117
77	9.59725
78	9.72326
79	9.84933
80	9.97532
81	10.1014
82	10.2275
83	10.3535
84	10.4796
85	10.6056
86	10.7317
87	10.8577
88	10.9837
89	11.1098
90	11.2359
91	11.3619
92	11.488
93	11.614
94	11.7401
95	11.8662
96	11.9922
97	12.1183
98	12.2443
99	12.3703
100	12.4964
101	12.6224
102	12.7485
103	12.8745
104	13.0006
105	13.1267
106	13.2527
107	13.3787
108	13.5048
109	13.6308
110	13.7568
111	13.8829
112	14.009
113	14.135
114	14.2611
115	14.3872
116	14.5132
117	14.6392
118	14.7653
119	14.8914
120	15.0174
121	15.1434
122	15.2694
123	15.3956
124	15.5215
125	15.6476
126	15.7736
127	15.8998
128	16.0258
129	16.1519
130	16.2779
131	16.4039
132	16.53
133	16.6561
134	16.7821
135	16.9082
136	17.0342
137	17.1602
138	17.2863
139	17.4124
140	17.5384
141	17.6644
142	17.7905
143	17.9165
144	18.0426
145	18.1686
146	18.2947
147	18.4208
148	18.5468
149	18.6729
150	18.7989
151	18.925
152	19.051
153	19.177
154	19.3031
155	19.4291
156	19.5552
157	19.6812
158	19.8073
159	19.9334
160	20.0594
161	20.1855
162	20.3115
163	20.4375
164	20.5636
165	20.6896
166	20.8157
167	20.9418
168	21.0678
169	21.1938
170	21.3199
171	21.446
172	21.572
173	21.698
174	21.8241
175	21.9502
176	22.0762
177	22.2022
178	22.3283
179	22.4544
180	22.5805
181	22.7065
182	22.8325
183	22.9585
184	23.0846
185	23.2107
186	23.3367
187	23.4627
188	23.5888
189	23.7149
190	23.8409
191	23.967
192	24.093
193	24.2191
194	24.3452
195	24.4711
196	24.5972
197	24.7232
198	24.8493
199	24.9754
200	25.1014
201	25.2275
202	25.3535
203	25.4795
204	25.6057
205	25.7316
206	25.8577
207	25.9838
208	26.1098
209	26.2359
210	26.3619
211	26.488
212	26.614
213	26.7401
214	26.8661
215	26.9922
216	27.1182
217	27.2442
218	27.3703
219	27.4963
220	27.6224
221	27.7485
222	27.8745
223	28.0006
224	28.1266
225	28.2526
226	28.3788
227	28.5048
228	28.6308
229	28.7569
230	28.883
231	29.009
232	29.135
233	29.2611
234	29.3871
235	29.5131
236	29.6392
237	29.7653
238	29.8913
239	30.0174
240	30.1435
241	30.2695
242	30.3955
243	30.5215
244	30.6477
245	30.7737
246	30.8997
247	31.0258
248	31.1518
249	31.2779
250	31.404
251	31.53
252	31.6561
253	31.7821
254	31.9081
255	32.0341
256	32.1602
257	32.2863
258	32.4124
259	32.5383
260	32.6644
261	32.7905
262	32.9165
263	33.0426
264	33.1686
265	33.2946
266	33.4208
267	33.5468
268	33.6728
269	33.7989
270	33.9249
271	34.051
272	34.177
273	34.3031
274	34.4292
275	34.5552
276	34.6813
277	34.8073
278	34.9333
279	35.0594
280	35.1854
281	35.3115
282	35.4375
283	35.5636
284	35.6896
285	35.8157
286	35.9417
287	36.0678
288	36.1938
289	36.3199
290	36.446
291	36.572
292	36.6981
293	36.8241
294	36.9502
295	37.0762
296	37.2022
297	37.3283
298	37.4544
299	37.5804
300	37.7064
