Time	Angle(deg)	Pressure_plenum_4(bar)	Temperature_plenum_4(degC)	Mass_plenum_4(kg)	Pressure_plenum_5(bar)	Temperature_plenum_5(degC)	Mass_plenum_5(kg)	Pressure_plenum_14(bar)	Temperature_plenum_14(degC)	Mass_plenum_14(kg)
37.4544	0.377296	2.93628	720.817	0.00113223	2.93628	720.816	0.00113223	3.25261	756.459	0.211804
37.4546	1.54554	2.93804	721.369	0.00113229	2.93804	721.369	0.00113229	3.25357	756.679	0.211821
37.4547	2.13495	2.93876	721.625	0.00113227	2.93876	721.625	0.00113227	3.25389	756.765	0.211825
37.4549	3.33279	2.93988	722.1	0.00113216	2.93987	722.099	0.00113216	3.25417	756.883	0.211818
37.4551	4.53946	2.9406	722.518	0.00113196	2.9406	722.518	0.00113196	3.25397	756.932	0.211795
37.4552	5.13832	2.94081	722.702	0.00113183	2.94081	722.702	0.00113183	3.25367	756.928	0.211776
37.4554	6.31621	2.94086	723.012	0.0011315	2.94086	723.012	0.0011315	3.25263	756.863	0.211722
37.4556	7.46475	2.94042	723.244	0.00113107	2.94042	723.244	0.00113107	3.25095	756.72	0.211642
37.4557	8.03256	2.94002	723.331	0.00113082	2.94001	723.331	0.00113081	3.24991	756.623	0.211594
37.4559	9.16668	2.93881	723.45	0.00113022	2.93881	723.45	0.00113022	3.2475	756.389	0.211485
37.4561	10.3036	2.93716	723.503	0.00112952	2.93714	723.502	0.00112952	3.2447	756.107	0.211361
37.4563	11.4433	2.93512	723.497	0.00112874	2.9351	723.495	0.00112874	3.24171	755.798	0.21123
37.4564	12.0151	2.93398	723.473	0.00112833	2.93399	723.474	0.00112833	3.24009	755.63	0.211158
37.4566	13.1616	2.93149	723.39	0.00112747	2.93147	723.388	0.00112746	3.23661	755.271	0.211005
37.4568	14.3186	2.92864	723.249	0.00112653	2.92862	723.246	0.00112653	3.23283	754.886	0.210838
37.457	15.5009	2.92537	723.046	0.0011255	2.92543	723.052	0.00112552	3.22861	754.462	0.21065
37.4571	16.1073	2.92362	722.927	0.00112497	2.92362	722.926	0.00112496	3.2263	754.234	0.210546
37.4573	17.3297	2.91976	722.636	0.00112381	2.91981	722.641	0.00112382	3.22116	753.736	0.210312
37.4575	18.5217	2.91559	722.293	0.00112259	2.91564	722.297	0.0011226	3.21554	753.203	0.210054
37.4577	19.106	2.91336	722.1	0.00112195	2.91343	722.107	0.00112197	3.2126	752.928	0.209918
37.4579	20.2615	2.90864	721.677	0.00112061	2.9087	721.683	0.00112062	3.20655	752.368	0.209638
37.4581	21.4099	2.90366	721.215	0.00111921	2.90365	721.214	0.0011192	3.20037	751.8	0.209349
37.4583	22.5497	2.89845	720.722	0.00111775	2.89847	720.724	0.00111776	3.19407	751.223	0.209055
37.4584	23.1163	2.89583	720.47	0.00111702	2.8958	720.467	0.00111702	3.19093	750.935	0.208908
37.4586	24.246	2.89041	719.945	0.00111552	2.89036	719.94	0.00111551	3.18469	750.363	0.208616
37.4588	25.3815	2.88484	719.399	0.00111399	2.88482	719.397	0.00111398	3.17848	749.792	0.208326
37.459	26.5288	2.8792	718.841	0.00111243	2.87922	718.844	0.00111244	3.17231	749.223	0.208037
37.4591	27.1094	2.87641	718.565	0.00111167	2.87635	718.559	0.00111165	3.16923	748.938	0.207893
37.4593	28.2913	2.87063	717.99	0.00111008	2.87066	717.994	0.00111008	3.16309	748.371	0.207605
37.4595	29.5065	2.8648	717.409	0.00110847	2.86486	717.415	0.00110849	3.15691	747.799	0.207316
37.4596	30.1172	2.86191	717.121	0.00110768	2.86199	717.129	0.0011077	3.15387	747.517	0.207173
37.4598	31.3161	2.85636	716.566	0.00110615	2.85642	716.572	0.00110616	3.14815	746.986	0.206905
37.46	32.4982	2.85112	716.043	0.0011047	2.8511	716.041	0.0011047	3.14288	746.494	0.206658
37.4601	33.0824	2.84857	715.789	0.001104	2.84863	715.794	0.00110401	3.14043	746.262	0.206544
37.4603	34.2341	2.84386	715.318	0.0011027	2.84387	715.318	0.0011027	3.13588	745.824	0.206334
37.4605	35.3707	2.8395	714.881	0.00110149	2.83947	714.878	0.00110149	3.13173	745.407	0.206145
37.4607	36.5004	2.83541	714.472	0.00110036	2.83538	714.469	0.00110036	3.12792	745.004	0.205976
37.4608	37.0628	2.83348	714.279	0.00109983	2.83345	714.276	0.00109982	3.12612	744.805	0.205898
37.461	38.1949	2.82979	713.909	0.00109881	2.82977	713.907	0.0010988	3.1228	744.418	0.205757
37.4612	39.3435	2.82635	713.565	0.00109785	2.82634	713.564	0.00109785	3.11971	744.033	0.205631
37.4614	40.5092	2.82315	713.245	0.00109697	2.82315	713.245	0.00109697	3.11685	743.65	0.20552
37.4615	41.1019	2.82164	713.093	0.00109655	2.82161	713.09	0.00109654	3.11551	743.458	0.205471
37.4617	42.323	2.81869	712.794	0.00109573	2.81868	712.793	0.00109573	3.11306	743.075	0.205386
37.4619	43.5513	2.81606	712.522	0.00109502	2.81606	712.522	0.00109501	3.11101	742.714	0.205324
37.462	44.1531	2.81491	712.401	0.0010947	2.81491	712.4	0.0010947	3.1101	742.548	0.205297
37.4622	45.333	2.81288	712.177	0.00109416	2.81288	712.177	0.00109416	3.10835	742.266	0.205239
37.4624	46.4898	2.81103	711.963	0.00109368	2.81103	711.962	0.00109368	3.10662	742.074	0.205164
37.4625	47.0627	2.81014	711.855	0.00109346	2.81014	711.854	0.00109345	3.10572	742.011	0.205117
37.4627	48.1963	2.80839	711.634	0.00109302	2.8084	711.633	0.00109302	3.10385	741.927	0.20501
37.4629	49.3183	2.80667	711.404	0.0010926	2.80667	711.404	0.0010926	3.10182	741.837	0.204895
37.4631	50.4505	2.80487	711.156	0.00109218	2.80487	711.156	0.00109218	3.0996	741.689	0.204778
37.4632	51.0216	2.80392	711.023	0.00109195	2.80392	711.023	0.00109196	3.09839	741.588	0.204718
37.4634	52.1713	2.80192	710.744	0.00109148	2.80192	710.744	0.00109149	3.09575	741.343	0.204593
37.4636	53.3401	2.79966	710.441	0.00109094	2.79971	710.446	0.00109096	3.09291	741.07	0.204461
37.4639	54.5546	2.7972	710.131	0.00109033	2.79723	710.134	0.00109034	3.08996	740.781	0.204324
37.464	55.1714	2.79593	709.98	0.00109	2.79596	709.983	0.00109001	3.08845	740.628	0.204255
37.4642	56.3863	2.7934	709.698	0.00108933	2.79344	709.701	0.00108934	3.08547	740.314	0.204121
37.4644	57.5732	2.79089	709.434	0.00108864	2.7909	709.434	0.00108864	3.08247	739.986	0.203988
